Player,Test career,Tests,Catches,Stumpings,Total dismissals
Russell Endean,1951,1,3,0,3
Denis Lindsay,1964–1970,15,54,2,56
Dennis Gamsy,1970,2,5,0,5
Dave Richardson,1992–1998,42,150,2,152
Mark Boucher,1997–2012,147,532,23,555
Thami Tsolekile,2004,3,6,0,6
AB de Villiers,2004–2015,24,89,5,94
Quinton de Kock,2014–present,43,181,11,192
Dane Vilas,2015–16,6,13,0,13
Heinrich Klaasen,2019,1,3,1,4
Karl Nunes,1928–1930[nb 2],4,2,0,2
Errol Hunte,1930,3,5,0,5
Ivan Barrow,1930–1939,11,17,5,22
Cyril Christiani,1935,4,6,1,7
Derek Sealy,1930–1939[nb 3],11,6,1,7
Clyde Walcott,1947–1960[nb 4],44,53,11,64
Sammy Guillen,1951–1956,5,9,2,11
Alfred Binns,1953–1956,5,14,3,17
Ralph Legall,1953,4,8,1,9
Clifford McWatt,1954–1955,6,8,1,9
Clairmonte Depeiaza,1955–1956,5,7,4,11
Rohan Kanhai,1957–1974[nb 6],79,50,0,50
Gerry Alexander,1957–1961,25,85,5,90
Jackie Hendriks,1962–1969,20,42,5,47
Ivor Mendonca,1962,2,8,2,10
David Allan,1962–1966,5,15,3,18
Deryck Murray,1963–1980,62,181,8,189
Mike Findlay,1969–1973,10,19,2,21
Desmond Lewis,1971,19,8,0,8
David Murray,1978–1982,19,57,5,62
Jeff Dujon,1981–1991[nb 8],81,267,5,272
Thelston Payne,1986,1,5,0,5
David Williams,1992–1998,11,40,2,42
Junior Murray,1993–2002,33,99,3,102
Courtney Browne,1995–2005,20,79,2,81
Ridley Jacobs,1998–2004,65,207,12,219
Carlton Baugh,2003–2012,21,43,5,48
Denesh Ramdin,2005–2016,74,205,12,217
Chadwick Walton,2009,2,10,0,10
Shane Dowrich,2016–present,32,85,5,90
Shai Hope,2016–2019,2,8,0,8
Jahmar Hamilton,2019,1,5,0,5
Joshua Da Silva,2020,5,13,0,18
Ken James,1930–1933,11,11,5,16
Eric Tindill,1937–1947,5,6,1,7
Frank Mooney,1949–1954,14,22,8,30
John Fulton Reid,1949,1,2,0,2
Ian Colquhoun,1955,2,4,0,4
Trevor McMahon,1955–1956,5,7,1,8
Eric Petrie,1955–1966,14,25,0,25
Sammy Guillen,1956,3,4,1,5
Artie Dick,1961–1965,17,47,4,51
John Ward,1964–1968,8,16,1,17
Roy Harford,1968,3,11,0,11
Barry Milburn,1969,3,6,2,8
Ken Wadsworth,1969–1976,33,92,4,96
Warren Lees,1976–1983,21,52,7,59
Jock Edwards,1977–1978,4,7,0,7
Bruce Edgar,1978,1,3,0,3
Ian Smith,1980–1992,63,168,8,176
Tony Blain,1986–1994,9,18,2,20
Adam Parore,1990–2002,67,194,7,201
Lee Germon,1995–1997,12,27,2,29
Robbie Hart,2002–2003,11,29,1,30
Brendon McCullum,2004–2013,52,167,11,178
Gareth Hopkins,2008–2010,4,9,0,9
Reece Young,2011,5,8,0,8
BJ Watling,2012–present,60,219,8,227
Kruger van Wyk,2012,9,23,1,24
Luke Ronchi,2015,1,4,0,4
Tom Blundell,2017,2,2,0,2
Andy Flower,1992–2002,55,142,9,151
Wayne James,1993–1994,4,16,0,16
Tatenda Taibu,2001–2012,27,56,5,61
Regis Chakabva,2011–present,13,33,4,37
Brendan Taylor,2013–2017,2,3,0,3
Richmond Mutumbami,2013–2014,6,17,2,19
Peter Moor,2016,3,6,1,7
